AIP 97, Academic Internship (2, 4), 2, 4
AIP 197, Academic Internship  Program (4, 8, 12), 4, 8, 12
AIP 197F, Academic Internship  Program—Foreign (4, 8, 12), 4, 8, 12
AIP 197P, Public Service Minor Internship (4), 4
COGR 223, Communication Law and Policy (4), 4
COGR 225A, Introduction to Science Studies: Part 1 (4), 4
COGR 225B, Seminar in Science Studies (4), 4
COGR 225C, Colloquium in Science Studies (4), 4
COGR 225D, Introduction to Science Studies Part II (4), 4
COGR 237, Performance Theory (4), 4
COGR 238, The Frankfurt School on Mass Culture Social Theory (4), 4
COGR 239, Computer Game Studies (4), 4
COGR 240, The Culture of Consumption (4), 4
COGR 241, Geography and Communication (4), 4
COGR 242, Globalization (4), 4
COGR 243, Media Technologies (4), 4
COGR 244, Cultural Studies (4), 4
COGR 245, Science and Technology Studies and Communication (4), 4
COGR 246, Playable Media (4), 4
COGR 247, Writing for Media (4), 4
COGR 248, Visual Culture (4), 4
COGR 250, Third World Cinema Screening (4), 4
COGR 251, Media Theory (4), 4
COGR 252, Race and Racism (4), 4
COGR 253, Cultural Study of Music and Sound (4), 4
COGR 254, Intellectual Property (4), 4
COGR 255, Studies in Political Theory (4), 4
COGR 256, Postcolonial Theory (4), 4
COGR 257, Communication and Social Theory (4), 4
COGR 258, Language in Human Communication (4), 4
COGR 259, Space, Place, and Media (4), 4
COGR 261, Mediational Approaches to Culture/Mind (4), 4
COGR 262, Geographies of Difference, Exclusion and Conflict (4), 4
COGR 263, Writing Research Proposals (4), 4
COGR 275, Topics in Communication (4), 4
COGR 278, Talking Culture, Culture Talking: Voices of Diversity (4), 4
COGR 280, Advanced Workshop in Communication Media (4), 4
COGR 281, Understanding Everyday Life (4), 4
COGR 282, Reading and Memory (4), 4
COGR 283, Political Economy (4), 4
COGR 284, Time (4), 4
COGR 285, Ethnography Practicum (4), 4
COGR 294, The History of Communication Research (4), 4
COGR 296, Communication Research as an Interdisciplinary Activity (4), 4
COGR 298, Directed Group Study (1–12), 1–12
COGR 299, Graduate Research (1–12), 1–12
COGR 500, Practice Teaching in Communication (4), 4
CONT 1, CI: The University in Society (4), 4
CONT 68, Disability, Race, and Diversity (4), 4
CONT 150A, College Academic Mentor Program (4), 4
CONT 150B, College Academic Mentor Program Field Study (2), 2
CONT 196, Contemporary Issues Workshop (2), 2
CONT 198, Group Studies in Contemporary Issues (2 or 4), 2 or 4
CGS 2A, Introduction to Critical Gender Studies: Key Terms and Concepts  (4), 4
CGS 2B, Introduction to Critical Gender Studies: Social Formations  (4), 4
CGS 87, Critical  Gender Studies Freshman Seminar (1), 1
CGS 100A, Conceptualizing Gender: Theoretical Approaches  (4), 4
CGS 100B, Conceptualizing Gender: Methods and Methodologies (4), 4
CGS 101, Gender, Modernity, and Globalization (4), 4
CGS 105, Queer Theory (4), 4
CGS 106, Gender and the Law (4), 4
CGS 108, Gender, Race, and Artificial Intelligence (4), 4
CGS 111, Gender and the Body (4), 4
CGS 112, Sexuality and Nation (4), 4
CGS 113, Gender and Sexuality in the Arts (4), 4
CGS 114, Gender, Race, Ethnicity, and Class (4), 4
CGS 117, Transgenderisms (4), 4
CGS 118, Gender and Incarceration (4), 4
CGS 119, Asian American Film, Video, and New Media: The Politics of Pleasure (4), 4
CGS 120, Capitalism and Gender (4), 4
CGS 121, Selected Topics in Critical Gender Studies (4), 4
CGS 122, Advanced Topics in Comparative Perspectives (4), 4
CGS 123, Gender and Reproductive Politics (4), 4
CGS 124, Girls and Sexuality: Moral Panics, Perils, and Pleasures (4), 4
CGS 125, Women of Color Writers (4), 4
CGS 137, Latina Issues and Cultural Production (4), 4
CGS 147, Black Feminisms, Past and Present (4), 4
CGS 150, Visuality, Sexuality, and Race (4), 4
CGS 165, Gender and Sexuality in African American Communities (4), 4
CGS 187, Latinx Sexualities (4), 4
CGS 190, Honors Seminar (4), 4
CGS 196A, Critical Gender Studies Honors Research  (4), 4
CGS 196B, Honors Thesis (4), 4
CGS 198, Directed Group Study (2–4), 2–4
CGS 199, Independent Study (2–4), 2–4
CGS 200, Advanced Studies in Critical Gender Studies (4), 4
CGS 208, Gender Variance (4), 4
CGS 280, Special Topics in Critical Gender Studies (4), 4
CGS 299, Advanced Practicum in Critical Gender Studies (4), 4
CGS 500, Apprentice Teaching in Critical Gender Studies (4), 4
CAT 1, Culture, Art, and Technology 1 (4), 4
CAT 2, Culture, Art, and Technology 2 (6), 6
CAT 3, Culture, Art, and Technology 3 (6), 6
CAT 24, Introduction  to Special Projects/Topics (2 or 4), 2 or 4
CAT 75, Experience Art!—Sixth College Seminar Series (1), 1
CAT 87, Freshman Seminar (1), 1
CAT 98, Culture, Art, and Technology Lower-Division Group Study (2 or 4), 2 or 4
CAT 124, Sixth College Practicum (4), 4
CAT 125, Public Rhetoric and Practical Communication (4), 4
CAT 192, Senior Seminar in Culture, Art, and Technology (1), 1
CAT 195, Apprentice Teaching (4), 4
CAT 197, Culture, Art, and Technology Field Studies (4), 4
CAT 198, Culture, Art, and Technology Directed Group Studies (4), 4
CAT 199, Culture, Art, and Technology Independent Studies (4), 4
DSC 10, Principles of Data Science (4), 4
DSC 20, Programming and Basic Data Structures for Data Science (4), 4
DSC 30, Data Structures and Algorithms for Data Science (4), 4
DSC 40A, Theoretical Foundations of Data Science I (4), 4
DSC 40B, Theoretical Foundations of Data Science II (4), 4
DSC 80, The Practice and Application of Data Science (4), 4
DSGN 1, Design of Everyday Things (4), 4
DSGN 90, Undergraduate Seminar (1), 1
DSGN 99, Independent Study (2 or 4), 2 or 4
DSGN 100, Information Design  (4), 4
DSGN 119, Design at Large (2), 2
DSGN 160, Special Topics in Design (4), 4
DSGN 161, Design Project (4), 4
DSGN 195, Instructional Apprenticeship in Design (4), 4
DSGN 198, Directed Group Study (2 or 4), 2 or 4
DSGN 199, Independent Project (2 or 4), 2 or 4
DSGN 260, Advanced Topics in Design (4), 4
DSGN 261, Advanced Design Project (4), 4
DSGN 299, Independent Project (2 or 4), 2 or 4
DOC 1, Dimensions of Culture: Diversity (4), 4
DOC 2, Dimensions of Culture: Justice (6), 6
DOC 3, Dimensions of Culture: Imagination (6), 6
DOC 100D, Dimensions of Culture: Promises and Contradictions in US Culture (4), 4
ECON 1, Principles of Microeconomics (4), 4
ECON 2, Market Imperfections and Policy (4), 4
ECON 3, Principles of Macroeconomics (4), 4
ECON 4, Financial Accounting (4), 4
ECON 5, Data Analytics for the Social Sciences (4), 4
ECON 87, Freshman Seminar (1), 1
ECON 100A, Microeconomics A (4), 4
ECON 100B, Microeconomics B (4), 4
ECON 100C, Microeconomics C (4), 4
ECON 100AH, Honors Microeconomics A (1), 1
ECON 100BH, Honors Microeconomics B (1), 1
ECON 100CH, Honors Microeconomics C (1), 1
ECON 101, International Trade (4), 4
ECON 102, Globalization (4), 4
ECON 102T, Advanced Topic in Globalization (2), 2
ECON 103, International Monetary Relations (4), 4
ECON 105, Industrial Organization and Firm Strategy (4), 4
ECON 106, International Economic Agreements (4), 4
ECON 107, Economic Regulation and Antitrust Policy (4), 4
ECON 109, Game Theory (4), 4
ECON 109T, Advanced Topics in Game Theory (2), 2
ECON 110A, Macroeconomics A (4), 4
ECON 110B, Macroeconomics B (4), 4
ECON 110AH, Honors Macroeconomics A (1), 1
ECON 110BH, Honors Macroeconomics B (1), 1
ECON 111, Monetary Economics (4), 4
ECON 112, Macroeconomic Data Analysis (4), 4
ECON 113, Mathematical Economics (4), 4
ECON 116, Economic Development (4), 4
ECON 117, Economic Growth (4), 4
ECON 118, Law and  Economics: Torts, Property, and Crime (4), 4
ECON 119, Law and Economics: Contracts and Corporations  (4), 4
ECON 120A, Econometrics A (4), 4
ECON 120B, Econometrics B (4), 4
ECON 120C, Econometrics C (4), 4
ECON 120AH, Honors Econometrics A (1), 1
ECON 120BH, Honors Econometrics B (1), 1
ECON 120CH, Honors Econometrics C (1), 1
ECON 121, Applied Econometrics (4), 4
ECON 122, Econometric Theory (4), 4
ECON 125, Demographic Analysis and Forecasting (4), 4
ECON 130, Public Policy (4), 4
ECON 131, Economics of the Environment (4), 4
ECON 132, Energy Economics (4), 4
ECON 134, The US Social Safety Net (4), 4
ECON 135, Urban Economics (4), 4
ECON 136, Human Resources (4), 4
ECON 138, Economics of Discrimination (4), 4
ECON 139, Labor Economics (4), 4
ECON 140, Economics of Health Producers (4), 4
ECON 141, Economics of Health Consumers (4), 4
ECON 142, Behavioral Economics (4), 4
ECON 143, Experimental Economics (4), 4
ECON 144, Economics of Conservation (4), 4
ECON 145, Economics of Ocean Resources (4), 4
ECON 146, Economic Stabilization (4), 4
ECON 147, Economics of Education (4), 4
ECON 150, Public Economics: Taxation (4), 4
ECON 151, Public Economics: Expenditures I (4), 4
ECON 152, Public Economics: Expenditures II (4), 4
ECON 158, Economic History of the United States I (4), 4
ECON 159, Economic History of the United States II (4), 4
ECON 162, Economics of Mexico (4), 4
ECON 164, The Indian Economy (4), 4
ECON 165, Middle East Economics (4), 4
ECON 165T, Advanced Topics in Middle East Economics (2), 2
ECON 167, Economics of China (4), 4
ECON 168, Economics of Modern Israel (4), 4
ECON 169, Economics of Korea (4), 4
ECON 171, Decisions Under Uncertainty (4), 4
ECON 172A, Operations Research A (4), 4
ECON 172B, Operations Research B (4), 4
ECON 173A, Financial Markets (4), 4
ECON 173B, Corporate Finance (4), 4
ECON 174, Financial Risk Management (4), 4
ECON 176, Marketing (4), 4
ECON 178, Economic and Business Forecasting (4), 4
ECON 182, Topics in Microeconomics (4), 4
ECON 191A, Senior Essay Seminar A (4), 4
ECON 191B, Senior Essay Seminar B (4), 4
ECON 195, Introduction to Teaching Economics (4), 4
ECON 198, Directed Group Study (2 or 4), 2 or 4
ECON 199, Independent Study (2 or 4), 2 or 4
ECON 200A, Microeconomics A (4), 4
ECON 200B, Microeconomics B (4), 4
ECON 200C, Microeconomics C (4), 4
ECON 201, Advanced Economic Theory (4), 4
ECON 202A-B-C, Workshop in Economic Theory (0–4/0–4/0–4), 0–4/0–4/0–4
ECON 204, Contract Theory (4), 4
ECON 205, Mathematics for Economists (4), 4
ECON 206, Decisions (4), 4
ECON 208, Games and Information (4), 4
ECON 210A, Macroeconomics A (4), 4
ECON 210B, Macroeconomics B (4), 4
ECON 210C, Macroeconomics C (4), 4
ECON 210D, Monetary Economics and Business Cycles (4), 4
ECON 211, Advanced Macroeconomics (4-4-4), 4-4-4
ECON 212A-B-C, Workshop in Macroeconomics (0–4/0–4/0–4), 0–4/0–4/0–4
ECON 213, Advanced Macroeconomic Theory (4), 4
ECON 214, Applied Macroeconomics (4), 4
ECON 215, Macroeconomic Policy (4), 4
ECON 216, Computation for Macroeconomics (4), 4
ECON 217, Real Frictions and Financial Frictions (4), 4
ECON 219, Readings in Macroeconomics (4), 4
ECON 220A, Econometrics A (4), 4
ECON 220B, Econometrics B (4), 4
ECON 220C, Econometrics C (4), 4
ECON 220D, Econometrics D (4), 4
ECON 220E, Econometrics E (4), 4
ECON 220F, Econometrics F (4), 4
ECON 221, Advanced Econometrics (4), 4
ECON 222A-B-C, Workshop in Econometrics (4-4-4), 4-4-4
ECON 225, Forecasting (4), 4
ECON 226, Bayesian and Numerical Methods (4), 4
ECON 227, Nonparametric and Semiparametric Models (4), 4
ECON 228, Nonstandard Inference (4), 4
ECON 230, Public Economics: Taxation (4), 4
ECON 231, Public Economics:  Public Goods and Externalities  (4), 4
ECON 232, Public Economics:  Redistribution and Social Insurance (4), 4
ECON 235A-B-C, Workshop in Applied Economics (0–4/0–4/0–4), 0–4/0–4/0–4
ECON 237, Political Economy: Microeconomic Perspectives (4), 4
ECON 241, Microeconomics of Development (4), 4
ECON 242, Macroeconomics of Development (4), 4
ECON 243, Organizational Economics of Development (4), 4
ECON 245, International Trade (4), 4
ECON 246, International Macroeconomics (4), 4
ECON 247, Empirical Topics in International Economics (4), 4
ECON 249A, International Development Workshop I (1–4), 1–4
ECON 249C, International Development Workshop III (1–4), 1–4
ECON 250, Labor Economics (4), 4
ECON 260, Industrial Organization: Firms  (4), 4
ECON 261, Industrial Organization: Markets  (4), 4
ECON 262, Behavioral Game Theory (4), 4
ECON 263, Modeling Behavioral Economics (4), 4
ECON 264, Experimental Economics (4), 4
ECON 265, Alternative Choice Theory (4), 4
ECON 266, Economics of Natural Resources (4), 4
ECON 267, Topics in Environmental and Resource Economics (4), 4
ECON 268, Energy and Environmental Economics (4), 4
ECON 270, Finance—Core Asset Pricing (4), 4
ECON 272, Finance—Theory and Testing of Intertemporal Asset Pricing Models (4), 4
ECON 280, Computation (2), 2
ECON 281, Special Topics in Economics (4), 4
ECON 285, Precandidacy Presentation (2), 2
ECON 286, Graduate Research Presentation Workshop (3), 3
ECON 291, Advanced Field Advising (4), 4
ECON 296, Original Research Paper (1–12), 1–12
ECON 297, Independent Study (1–5), 1–5
ECON 299, Research in Economics for Dissertation (1–9), 1–9
ECON 500A-B-C, Teaching Methods in Economics (4-4-4), 4-4-4
EDS 20S, Introduction to Principles of Learning (4), 4
EDS 21S, Writing and Learning—Triton Transition (4), 4
EDS 22, Education in Cuba: Institutional Structures, History, and Culture (2), 2
EDS 22S, Education in Cuba—Field Experience (4), 4
EDS 23, Success and Satisfaction in the Second Year of Higher Education: Research Trends and Conclusions (2), 2
EDS 30/Math, Introduction to Math Teaching (2), 2
EDS 31/Chem, Introduction to Teaching Science (2), 2
EDS 39, Practicum  in Science and Math Teaching/Learning (2), 2
EDS 50, Chancellor’s Associates Scholars Program Freshman Introductory Course (1), 1
EDS 87, Freshman Seminar in Education Studies (1), 1
EDS 105, Teaching and Learning Physics (4), 4
EDS 111, Child, Family, and Community Partnerships with Schools (4), 4
EDS 112, Urban Education in the United States (4), 4
EDS 113, Chicanas/os and Latinos in Education: Policy, Practice, and Challenges to Equity (4), 4
EDS 114, Cognitive Development and Interactive Computing Environments (4), 4
EDS 115, Cognitive Development and Education (4), 4
EDS 115GS, Cognitive Development and Education (4), 4
EDS 116, Equity-Minded Education  (4), 4
EDS 117, Language, Culture, and Education (4), 4
EDS 117GS, Language, Culture, and Education (4), 4
EDS 118, Adolescent Development and Education (4), 4
EDS/LIGN 119, First and Second Language Learning: From Childhood through Adolescence (4), 4
EDS 120, Introduction to Design-Based Educational Research: A Field Experience for Improving San Diego Schools (4), 4
EDS 121A/Math, Foundations of Teaching and Learning Mathematics I (4), 4
EDS 121B/Math, Foundations of Teaching and Learning Math II (4), 4
EDS 122/Chem, Foundations of Teaching and Learning Science (4), 4
EDS 123/Chem, Capstone Seminar in Science Education (4), 4
EDS 124A, Teaching Computation in the Digital World (4), 4
EDS 124AR, Teaching Computation in the Digital World (4), 4
COMM 169, Deaf Culture in the U, Deaf Culture in the 
EDS 125, History, Politics, and Theory of Bilingual Education (4), 4
EDS 126, Social Organization of Education (4), 4
EDS 128, Introduction to Teaching and Learning (Elementary) (4-4), Elementary) (4-4
EDS 129, Introduction to Teaching and Learning (Secondary) (4-4-4), Secondary) (4-4-4
EDS 130, Introduction to Academic Mentoring of Elementary/School Students (4), 4
EDS 131, Early Childhood Development and Education  (4), 4
EDS 132, Hands-On Seminar (4), 4
EDS 133, Counseling, Mentoring, and Academic Advising (Preschool through Twelfth Grade) (4), Preschool through Twelfth Grade) (4
EDS 135, Working with Newcomer Communities in San Diego (6), 6
EDS 136, Introduction to Academic Tutoring of Secondary School Students (4), 4
EDS 137, Introduction  to Discipline-Specific Teaching and Learning (4), 4
EDS 138, Introduction  to Academic Tutoring at Charter Schools (4), 4
EDS 139, Practicum in Teaching and Learning (2), 2
EDS 140, Introduction to Action Research in Pre-K–12 Education  (4), 4
EDS 141, Action Research in Pre-K–12 Education: Advanced Practicum in Pre-K–12 Schools and Communities (4), 4
EDS 150, Chancellor’s Associates Scholars Program Transfer Introductory Course (2), 2
EDS 180, Topics in Education Studies (4), 4
EDS 190, Research Practicum (1–6), 1–6
EDS 195, Apprentice Teaching (2–4), 2–4
EDS 198, Directed Group Study (4–2), 4–2
EDS 199, Special Studies (4), 4
EDS 342A, ASL-English  Bilingual Education Practices (4), 4
EDS 342B, ASL-English  Bilingual Education Practices (4), 4
EDS 342C, ASL-English  Bilingual Education Practices (4), 4
EDS 349, Deaf Education Specialist Student Teaching Practicum (9), 9
EDS 351, Teaching the English Language Learner (4), 4
EDS 352A, Bilingual Instructional Practices I (2), 2
EDS 352B, Bilingual Instructional Practices II (2), 2
EDS 355A, Advanced    Mathematics Teaching Practices for Grades K–6 (2), 2
EDS 355B, Advanced  Mathematics Teaching Practices for Grades K–6 (2), 2
EDS 355C, Advanced  Mathematics Teaching Practices for Grades K–6 (2), 2
EDS 361A, Innovative Instructional Practices I (6), 6
EDS 361B, Innovative Instructional Practices II (6), 6
EDS 361C, Innovative Instructional Practices III (4), 4
EDS 369A, Multiple Subject (Elementary) Student Teaching Practicum-I (9), Elementary) Student Teaching Practicum-I (9
EDS 369B, Multiple Subject (Elementary) Student Teaching Practicum-II (9), Elementary) Student Teaching Practicum-II (9
EDS 372, World Language Teaching Practices (4), 4
EDS 373, Secondary English Teaching Practices (4), 4
EDS 374, Secondary  Mathematics Teaching Practices (4), 4
EDS 375, Secondary Science Teaching Practices (4), 4
EDS 376, Language and Learning Instruction (4), 4
EDS 379A, Single Subject (Secondary) Internship Practicum I (8), Secondary) Internship Practicum I (8
EDS 379B, Single Subject (Secondary) Internship Practicum II (8), Secondary) Internship Practicum II (8
EDS 379C, Single Subject (Secondary) Internship Practicum III (8), Secondary) Internship Practicum III (8
EDS 381, Health Education (4), 4
EDS 382, Inclusive Educational Practices (4), 4
EDS 385, Elementary School Mathematics Content and Pedagogy (4), 4
SOCG 270, The Sociology of Education (4), 4
EDS 201, Introduction  to Resources for Teaching and Learning (4), 4
EDS 203, Technology, Teaching, and Learning (4), 4
EDS 204, Technology  and Professional Assessment (4), 4
EDS 205A, Reflective Teaching Practice (2), 2
EDS 205B, Reflective Teaching Practice (2), 2
EDS 206, Teaching  Performance Assessment Portfolio (4), 4
EDS 229, Introduction to Educational Resources (4), 4
EDS 230A-B-C, Research in Curriculum Design (4-4-4), 4-4-4
EDS 231, Advanced  Topics in Instructional Practices (4), 4
EDS 232, Special Topics in Education (4), 4
EDS 233A, Topics in Education Research and Design (2), 2
EDS 233B, Topics  in Education Research and Design (2), 2
EDS 240A, Research  in ASL-English Bilingual Education (4), 4
EDS 240B, Research  in ASL-English Bilingual Education (4), 4
EDS 240C, Research  in ASL-English Bilingual Education (4), 4
EDS 250, Equitable  Educational Research and Practice (4), 4
EDS 251, Transforming Learning Environments (4), 4
EDS 252, Transforming Inequities in Student Outcomes (4), 4
EDS 253, Transforming Educational Systems and Policy (4), 4
EDS 254, Introduction to Research Design and Quantitative Data Analysis (4), 4
EDS 255, Advanced Quantitative Data Analysis (4), 4
EDS 256, Introduction to Mixed Methods Research Design and Analysis (4), 4
EDS 257, Case Study Research (4), 4
EDS 259, Communicating Research (2), 2
EDS 260A, Educational  Research and Evaluation Design (4), 4
EDS 260B, Educational  Research and Evaluation Design (4), 4
EDS 260C, Educational  Research and Evaluation Design (4), 4
EDS 261A, Advanced  Research and Evaluation Methods (4), 4
EDS 261B, Advanced  Research and Evaluation Methods (4), 4
EDS 261C, Advanced  Research and Evaluation Methods (4), 4
EDS 262A, Dissertation Writing Seminar (4), 4
EDS 262B, Dissertation Writing Seminar (4), 4
EDS 262C, Dissertation Writing Seminar (4), 4
EDS 263, Developmental Theory and Culture (4), 4
EDS 264, Introduction to Qualitative Analysis (4), 4
EDS 265, Special Topics in Qualitative Methods (4), 4
EDS 266, Special Topics in Quantitative Methods (4), 4
EDS 267, Contexts for Teaching and Change (4), 4
EDS 270, Leadership  and Equity in Educational Reform (4), 4
EDS 272, Education and Culture (4), 4
EDS 278/COGR, Talking Culture, Culture Talking: Voices of Diversity (4), 4
EDS 280, Rethinking Leadership (4), 4
EDS 281, Leadership for Learning (4), 4
EDS 282, Leadership for a Diverse Society (4), 4
EDS 283, Leadership for Organizational Change (4), 4
EDS 284, Leadership for Organizational Development (4), 4
EDS 285, Leadership for the Future (4), 4
EDS 286, Advanced Topics in Leadership (4), 4
EDS 287A, Educational  Research and Evaluation Design A (4), 4
EDS 287B, Educational  Research and Evaluation Design B (4), 4
EDS 287C, Educational  Research and Evaluation Design C—Qualitative Methods  (4), 4
EDS 288A, Advanced Research and Evaluation Methods A—Quantitative Methods  (4), 4
EDS 288B, Advanced  Research and Evaluation Methods B—Qualitative Methods (4), 4
EDS 288C, Advanced  Research and Evaluation Methods C—Quantitative Methods (4), 4
EDS 289A, Dissertation Writing Seminar (4), 4
EDS 289B, Dissertation Writing Seminar (4), 4
EDS 289C, Dissertation Writing Seminar (4), 4
EDS 289D, Dissertation Writing Seminar (4), 4
EDS 290, Research Practicum (1–12), 1–12
EDS 291A, Leadership Research Practicum (2), 2
EDS 291B, Leadership Research Practicum (2), 2
EDS 292, Qualifying Paper Preparation (2), 2
EDS 293A, Advanced  Leadership Research Practicum (2), 2
EDS 293B, Advanced  Leadership Research Practicum (2), 2
EDS 294A, Colloquium on Educational Leadership (2), 2
EDS 294B, Colloquium on Educational Leadership (2), 2
EDS 295, MA Thesis (1–8), 1–8
EDS 296, Research Apprenticeship Course (2–4), 2–4
EDS 297, Directed Group Study (1–6), 1–6
EDS 298, Independent Study (1–6), 1–6
EDS 299, Dissertation Research (1–12), 1–12
EDS 500, Apprentice Teaching in Education (2–4), 2–4
ENG 1, Orientation to Engineering I (1), 1
ENG 2, Orientation to Engineering II (1), 1
ENG 3, Orientation to Engineering III (1), 1
ENG 10, Fundamentals of Engineering Applications (2), 2
ENG 100A, Team Engineering (2), 2
ENG 100B, Engineering Leadership (2), 2
ENG 100C, Technical Writing/Communication for Engineers and Scientist (2), 2
ENG 100D, Design for Development (4), 4
ENG 100L, Design for Development Lab  (2), 2
ENG 201, Venture Mechanics (4), 4
ENG 202, Enterprise Dynamics (4), 4
ENG 203, Applied Innovations (4), 4
ENG 207, Corporate Entrepreneurship for Global Competitiveness (4), 4
ENG 208, Basics of Entrepreneurism and Technology Commercialization (4), 4
ENG 210, Systems Engineering (4), 4
ENG 211, Engineering Leadership in Academia (4), 4
BENG 1, Introduction to Bioengineering (2), 2
BENG 2, Introductory Computer Programming and Matlab (2), 2
BENG 87, Freshman Seminar (1), 1
BENG 97, Internship/Field Studies (1–4), 1–4
BENG 98, Directed Group Study (1–4), 1–4
BENG 99, Independent Study for Undergraduates (4), 4
BENG 99H, Independent Study (1), 1
BENG 100, Statistical Reasoning for Bioengineering Applications  (4), 4
BENG 102, Molecular Components of Living Systems (4), 4
BENG 103B, Bioengineering Mass Transfer (4)Mass transfer in solids, liquids, and gases with application to biological systems, 4
BENG 110, Foundation of Biomechanics  (4), 4
BENG 112A, Tissue Biomechanics (4), 4
BENG 112B, Fluid and Cell Biomechanics (4), 4
BENG 119A, Design Development in Biomechanics (3), 3
BENG 119B, Design Implementation in Biomechanics (3), 3
BENG 120, Organic Chemistry Structural and Design Principles (4), 4
BENG 122A, Biosystems and Control (4), 4
BENG 123, Dynamic Simulation in Bioengineering  (4), 4
BENG 125, Modeling and Computation in Bioengineering (4), 4
BENG 126A, Design Development in Bioinformatics Bioengineering (3), 3
BENG 126B, Design Implementation in Bioinformatics Bioengineering (3), 3
BENG 127A, Design Development in Molecular Systems Bioengineering (3), 3
BENG 127B, Design Implementation in Molecular Systems Bioengineering (3), 3
BENG 128A, Design Development in Genetic Circuits Bioengineering (3), 3
BENG 128B, Design Implementation in Genetic Circuits Bioengineering (3), 3
BENG 129A, Design Development in Cell Systems Bioengineering (3), 3
BENG 129B, Design Implementation in Cell Systems Bioengineering (3), 3
BENG 130, Biotechnology Thermodynamics and Kinetics  (4), 4
BENG 133, Numerical Analysis and Computational Engineering (4), 4
BENG 134, Measurements, Statistics, and Probability (4), 4
BENG 135, Biomedical Signals and Systems (4), 4
BENG 139A, Design Development in Molecular Bioengineering (3), 3
BENG 139B, Design Implementation in Molecular Bioengineering (3), 3
BENG 140A, Bioengineering Physiology (4), 4
BENG 140B, Bioengineering Physiology (4), 4
BENG 141, Biomedical Optics and Imaging (4), 4
BENG 147A, Design Development in Neural Engineering (3), 3
BENG 147B, Design Implementation in Neural Engineering (3), 3
BENG 148A, Design Development in Cardiac Bioengineering (3), 3
BENG 148B, Design Implementation in Cardiac Bioengineering (3), 3
BENG 149A, Design Development in Vascular Bioengineering (3), 3
BENG 149B, Design Implementation in Vascular Bioengineering (3), 3
BENG 152, BioSystems Engineering Laboratory (4), 4
BENG 160, Chemical and Molecular Bioengineering Techniques (4), 4
BENG 161A, Bioreactor Engineering (4), 4
BENG 161B, Biochemical Engineering (4), 4
BENG 162, Biotechnology Laboratory (4), 4
BENG 166A, Cell and Tissue Engineering (4), 4
BENG 168, Biomolecular Engineering (4), 4
BENG 169A, Design Development in Tissue Engineering (3), 3
BENG 169B, Design Implementation in Tissue Engineering (3), 3
BENG 172, Bioengineering Laboratory (4), 4
BENG 179A, Design Development in Bioinstrumentation (3), 3
BENG 179B, Design Implementation in Bioinstrumentation (3), 3
BENG/BIMM/CSE 181, Molecular Sequence Analysis (4), 4
BENG/BIMM/CSE/Chem 182, Biological Databases (4), 4
BENG 183, Applied Genomic Technologies (4), 4
BENG/BIMM/CSE/Chem 184, Computational Molecular Biology (4), 4
BENG 186A, Principles of Biomaterials Design (4), 4
BENG 186B, Principles of Bioinstrumentation Design (4), 4
BENG 187A, Bioengineering Design Project:  Planning (1), 1
BENG 187B, Bioengineering Design Project:  Development (1), 1
BENG 187C, Bioengineering Design Project:  Implementation (1), 1
BENG 187D, Bioengineering Design Project:  Presentation (1), 1
BENG 189, Physiological Systems Engineering (4), 4
BENG 191/291, Senior Seminar I: Professional Issues in Bioengineering (2), 2
BENG 193, Clinical Bioengineering (4), 4
BENG 195, Teaching (2–4), 2–4
BENG 196, Bioengineering Industrial Internship (1–4), 1–4
BENG 197, Engineering Internship (1–4), 1–4
BENG 198, Directed Group Study (1–4), 1–4
BENG 199, Independent Study for Undergraduates (4), 4
BENG 202/CSE, Bioinformatics II: Introduction to Bioinformatics Algorithms (4), 4
BENG 203/CSE, Genomics, Proteomics, and Network Biology (4), 4
BENG 207, Topics in Bioengineering (4), 4
BENG 208, Topics in Bioengineering with Lab (4), 4
BENG 211, Systems Biology and Bioengineering I:  Biological Components (4), 4
BENG 212, Systems Biology and Bioengineering II:  Network Reconstruction (4), 4
BENG 213, Systems Biology and Bioengineering III:  Building and Simulating Large-Scale In Silico Models (4), 4
BENG 221, Mathematical Methods for Bioengineering (4), 4
BENG 223, Thermodynamics, Statistical Mechanics, Interfacial Phenomena in Living Systems (4), 4
BENG 225, BioBusiness: Starting, Growing, and Harvesting a Biotech Company (4), 4
BENG 226, Foundations of Bioengineering I: Tissue and Cell Properties  (4), 4
BENG 227, Transport Phenomena in Living Systems (4), 4
BENG 230A, Biochemistry (4), 4
BENG 230B, Cell and Molecular Biology (4), 4
BENG 230C, Cardiovascular Physiology (4), 4
BENG 230D, Respiratory and Renal Physiology (4), 4
BENG 232, Musculoskeletal Health, Injury, and Disease (4), 4
BENG 233, Neuromuscular Physiology and Biomechanics (4), 4
BENG 234, Intro to Neurophysiology: Molecules to Systems (4), 4
BENG 235, Molecular Imaging and Quantitation in Living Cells (4), 4
BENG 238/MED, Molecular Biology of the Cardiovascular System (4), 4
BENG 241A, Tissue Engineering and Regenerative Medicine: Foundations  (4), 4
BENG 241B, Tissue Engineering and Regenerative Medicine: Cell Microenvironment  (4), 4
BENG 241C, Tissue Engineering and Regenerative Medicine: Development and Growth (4), 4
BENG 242/MATS, Polymer Science and Engineering (4), 4
BENG 247A/ECE, Advanced Biophotonics (4), 4
BENG 247B/ECE, Bioelectronics (4), 4
